business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Small,Medium,Sensitive,1499688,4283303,no,7494
Medium,Low,Sensitive,1114046,6441139,no,11136
Medium,Low,Sensitive,4858348,6206721,no,3592
Small,Medium,Non-sensitive,568161,4294302,yes,6666
Medium,Low,Sensitive,4427142,4713536,no,3318
Large,High,Sensitive,3465182,16493230,no,3264
Large,Medium,Non-sensitive,4233739,14188038,no,9993
Small,Low,Non-sensitive,4959285,12784864,yes,12262
Large,High,Sensitive,3975758,1945071,yes,14152
Medium,Medium,Sensitive,2140330,11200572,yes,12543
Small,High,Sensitive,4359006,6299765,yes,4088
Medium,High,Non-sensitive,2084338,13300711,no,7767
Large,Medium,Non-sensitive,831855,8517978,no,12661
Medium,Medium,Sensitive,2062179,3893124,yes,8861
Medium,High,Sensitive,3522669,5237587,no,6643
Large,High,Non-sensitive,2966907,7628504,no,12992
Large,Low,Non-sensitive,1763791,4127320,no,4743
Large,Medium,Sensitive,3761439,6053230,yes,7483
Medium,Low,Sensitive,2282152,14312199,no,5336
Medium,Medium,Sensitive,4067484,16319541,no,8858
Small,High,Non-sensitive,3130357,19133301,no,14127
Medium,Medium,Sensitive,967971,5694685,yes,7848
Medium,High,Non-sensitive,2033052,18648176,no,10394
Small,Medium,Non-sensitive,2838239,6089921,no,14702
Medium,Medium,Non-sensitive,4473786,14485448,no,13193
Small,Medium,Sensitive,2388821,3244922,no,8692
Medium,Low,Non-sensitive,2513772,6016198,yes,3109
Medium,Medium,Sensitive,4264757,11995002,yes,9407
Small,Low,Non-sensitive,2821570,7521615,no,11182
Medium,Low,Sensitive,229436,4967479,no,5966
Small,Low,Non-sensitive,3834632,14284763,no,8323
Large,High,Sensitive,2183857,1946763,yes,3535
Medium,Low,Sensitive,997555,7045514,yes,12534
Small,High,Non-sensitive,1468135,15338647,no,13873
Medium,High,Non-sensitive,1526539,7400566,yes,3849
Large,High,Sensitive,1271475,17445501,yes,13912
Medium,Low,Sensitive,2514037,13544147,yes,3216
Small,High,Sensitive,2716615,8277135,no,9210
Small,Medium,Non-sensitive,384037,3787325,no,3050
Small,Low,Non-sensitive,253323,7609228,no,9877
Medium,Low,Non-sensitive,1930664,18733022,yes,8501
Small,High,Non-sensitive,1381005,1281666,no,4671
Small,Medium,Non-sensitive,3272261,6079655,no,11009
Medium,Medium,Sensitive,4526636,9315228,no,9405
Medium,Low,Sensitive,4833116,1983781,yes,6712
Small,Low,Non-sensitive,2660596,16393961,no,5652
Small,Medium,Sensitive,1478643,11347733,no,9527
Large,High,Non-sensitive,4592505,9441789,no,13615
Large,Medium,Non-sensitive,3046708,12479897,yes,5126
Medium,Low,Sensitive,3650442,16104006,yes,14966
Medium,Low,Non-sensitive,2720772,17590413,yes,12287
Medium,Medium,Sensitive,4535840,8318837,no,14433
Small,Medium,Non-sensitive,792456,7372249,no,12423
Large,High,Sensitive,3339524,13061065,no,9651
Medium,Medium,Sensitive,2986218,8630597,yes,11397
Large,High,Non-sensitive,415911,19035605,no,10387
Medium,Low,Non-sensitive,348596,15611727,no,8820
Medium,Low,Non-sensitive,3702384,9703057,yes,10604
Small,High,Sensitive,2880778,5282119,yes,8547
Small,Low,Non-sensitive,812624,16555738,no,10812
Large,Low,Non-sensitive,4979763,2521550,no,12978
Large,High,Sensitive,618768,5980538,no,3715
Large,High,Non-sensitive,4496962,15273733,no,6590
Large,Medium,Sensitive,300977,5332331,no,11721
Large,Medium,Sensitive,3118591,13874734,no,11388
Small,High,Non-sensitive,3657728,5960816,yes,4168
Medium,Low,Sensitive,835732,1699306,yes,7970
Medium,Low,Non-sensitive,3053271,14942144,yes,5378
Small,Low,Non-sensitive,2607666,2574924,yes,10304
Large,High,Non-sensitive,3121119,14643643,yes,14387
Large,Low,Sensitive,104950,10288454,yes,3948
Large,Medium,Non-sensitive,1799569,17332495,no,12221
Large,High,Sensitive,4968023,17938872,yes,5647
Medium,Low,Sensitive,2022360,14409301,yes,6727
Large,High,Non-sensitive,3456058,3279696,yes,13260
Medium,Low,Sensitive,3169628,15971687,yes,12868
Large,High,Sensitive,4580324,2510546,no,12528
Small,Low,Non-sensitive,1603514,15229647,yes,6302
Small,Low,Non-sensitive,1606011,12218938,no,12970
Small,Medium,Non-sensitive,1215624,15935548,yes,3850
Medium,High,Non-sensitive,893196,10112069,no,8202
Large,High,Non-sensitive,2724924,10078410,no,4661
Medium,Low,Sensitive,4481509,5017041,yes,12410
Large,Medium,Non-sensitive,2584188,1841932,no,7017
Medium,Medium,Sensitive,4788502,2947933,no,10251
Medium,Medium,Sensitive,4552449,11652829,yes,11417
Small,Medium,Sensitive,2419268,15759730,no,11581
Medium,Medium,Non-sensitive,4873065,7655001,yes,8307
Large,High,Non-sensitive,2427640,18714546,yes,12814
Small,Low,Sensitive,783151,12366475,no,5065
Medium,Medium,Sensitive,67884,17277382,yes,3923
Large,Medium,Sensitive,164489,17668612,yes,9986
Large,Medium,Non-sensitive,3564260,2630014,no,9545
Medium,High,Sensitive,3765876,18241468,yes,7172
Small,Low,Sensitive,1215691,16775565,no,8241
Medium,High,Non-sensitive,4856849,19827609,no,6853
Small,Low,Non-sensitive,4427222,2397412,no,12315
Medium,Low,Non-sensitive,1182993,15200427,no,12873
Medium,High,Non-sensitive,2187643,19977523,yes,5272
Large,Low,Non-sensitive,1183615,6480321,yes,3516
Large,Low,Non-sensitive,4949319,4698919,no,12530
Medium,Medium,Sensitive,3684683,15333215,no,3150
Medium,Low,Sensitive,3656433,1556491,yes,5875
Large,Low,Non-sensitive,1577290,4353372,yes,3906
Large,Medium,Sensitive,110126,2141147,no,5762
Large,High,Non-sensitive,550798,13489880,no,13800
Medium,Low,Sensitive,1390134,14587539,yes,7718
Small,Medium,Non-sensitive,3741226,12901319,yes,10274
Small,Medium,Sensitive,1264657,2118182,yes,8382
Medium,Medium,Sensitive,4675878,16616269,yes,9281
Small,High,Non-sensitive,909839,5323279,yes,3855
Small,Medium,Non-sensitive,4925156,12325039,yes,7852
Large,Medium,Non-sensitive,1333267,7150880,no,13629
Large,High,Non-sensitive,2060419,4452988,no,12340
Small,Medium,Non-sensitive,1540595,13214514,yes,4986
Large,Medium,Non-sensitive,869449,15279778,yes,14173
Large,Medium,Non-sensitive,684387,16055625,no,11013
Large,Medium,Non-sensitive,3672646,19508738,yes,11180
Small,High,Sensitive,2674842,3346307,no,3756
Large,Medium,Non-sensitive,3283596,6715733,yes,13221
Large,Low,Sensitive,796415,19607227,no,4464
Medium,High,Non-sensitive,3850558,11560369,yes,13730
Medium,Low,Non-sensitive,2424480,19752587,yes,7955
Small,Medium,Sensitive,3178536,9165774,yes,7756
Medium,Medium,Non-sensitive,1479772,10084335,yes,5061
Medium,Medium,Sensitive,778555,10247130,no,13748
Medium,Low,Non-sensitive,4664193,4539067,yes,11773
Small,Medium,Non-sensitive,3549969,1919865,yes,8123
Medium,High,Non-sensitive,870435,5637998,yes,13469
Large,Low,Sensitive,3577223,15297602,no,9342
Large,Medium,Sensitive,4766000,15130070,yes,5359
Medium,Low,Sensitive,1778534,11827750,no,12477
Large,Medium,Sensitive,1623835,7449375,yes,4431
Large,Low,Non-sensitive,1687267,18041819,yes,10039
Medium,High,Non-sensitive,1128467,15521120,yes,4114
Medium,Low,Non-sensitive,4962201,4353576,no,8608
Medium,High,Non-sensitive,482422,19388998,yes,8543
Medium,High,Sensitive,3027627,12445872,no,9844
Medium,Medium,Non-sensitive,1115841,2571870,yes,14272
Large,Low,Sensitive,4081068,14964831,no,10683
Small,Medium,Sensitive,956222,14426910,no,3256
Medium,High,Sensitive,3712099,13361795,yes,4978
Large,High,Sensitive,417580,1016602,yes,13781
Medium,Low,Sensitive,1731700,12126642,yes,11223
Small,High,Non-sensitive,4708638,5238950,yes,14523
Large,High,Non-sensitive,1609933,11280973,yes,9494
Small,Low,Sensitive,4665515,17201455,yes,8123
Small,High,Sensitive,3166888,14583554,yes,11295
Medium,Low,Sensitive,4625700,17024608,no,7745
Small,Medium,Non-sensitive,4382912,17079952,no,5189
Large,Medium,Non-sensitive,4748301,1952033,yes,4184
Large,Medium,Sensitive,3400204,15504087,yes,6150
Medium,High,Non-sensitive,435358,16113977,yes,8794
Large,Medium,Non-sensitive,544552,1944853,yes,6517
Medium,Low,Sensitive,4017349,15212956,yes,5074
Medium,High,Sensitive,2141025,9506557,yes,3816
Small,Low,Non-sensitive,1306756,12513893,yes,3640
Large,Medium,Non-sensitive,3735836,16725571,no,13438
Large,Medium,Non-sensitive,4332941,2962477,no,12339
Small,Low,Non-sensitive,2744898,2486682,no,5864
Small,High,Sensitive,855708,17277593,no,3844
Large,Low,Sensitive,3063780,7897302,yes,7678
Small,High,Non-sensitive,2199127,5411756,no,14661
Large,Low,Sensitive,422173,9910181,no,4749
Small,Medium,Non-sensitive,4049980,12645536,yes,9605
Medium,High,Sensitive,3877304,13883798,no,14036
Small,High,Sensitive,255448,13693970,yes,4806
Small,Low,Sensitive,1849398,17377925,yes,3932
Small,Medium,Non-sensitive,4221085,1765353,no,11808
Small,Medium,Non-sensitive,4184311,19690113,yes,12914
Large,High,Sensitive,3913197,15845809,yes,4461
Large,Medium,Sensitive,981781,18733147,yes,6458
Medium,High,Sensitive,4385542,16930012,yes,10780
Medium,Medium,Non-sensitive,3606425,1471985,yes,13318
Medium,Medium,Non-sensitive,3269913,4939045,yes,6869
Small,High,Non-sensitive,309931,17315591,yes,8232
Medium,High,Sensitive,2463894,7404149,no,4083
Medium,Low,Sensitive,1954155,4743606,yes,4049
Large,Low,Sensitive,4806694,1437111,no,14920
Medium,Low,Non-sensitive,2296133,13647917,yes,12996
Medium,High,Non-sensitive,3860751,6810989,no,11909
Small,Medium,Non-sensitive,3199492,19454719,no,8694
Small,Medium,Sensitive,1661170,18631033,no,9591
Large,Low,Non-sensitive,3309823,15751677,no,11395
Small,Low,Sensitive,4425981,13750021,yes,13746
Large,High,Non-sensitive,3018788,3425147,no,9286
Large,Medium,Sensitive,2978254,11968239,yes,8638
Medium,Low,Non-sensitive,2933865,10909543,no,10084
Small,Low,Non-sensitive,1252578,7020672,yes,4118
Medium,High,Non-sensitive,2391597,10300263,no,13468
Large,High,Sensitive,4657638,5587242,yes,8539
Small,Medium,Sensitive,1546889,18813956,yes,5196
Large,Low,Sensitive,1265160,15002154,yes,3393
Small,High,Non-sensitive,641388,3083317,yes,5966
Small,High,Non-sensitive,991312,18556553,no,4034
Small,High,Non-sensitive,3959877,6387438,no,3800
Medium,High,Non-sensitive,2334436,3551768,yes,5973
Large,High,Sensitive,3827271,17643370,yes,4697
Small,Medium,Non-sensitive,2393552,15062347,no,4154
Large,High,Non-sensitive,624379,7819022,no,9597
Medium,Medium,Sensitive,1875564,11430181,yes,3188
Small,Medium,Non-sensitive,4973783,4190898,yes,13800
Large,Low,Non-sensitive,3753370,15087474,no,6222
Medium,Medium,Sensitive,3132720,13928853,yes,8561
Medium,High,Non-sensitive,1377080,12467036,yes,4123
Medium,High,Sensitive,3761062,6870749,no,8743
Small,Low,Sensitive,1630254,10408280,no,13349
Medium,Low,Non-sensitive,157048,2106153,no,12325
Medium,High,Non-sensitive,4743183,8144071,no,5546
Small,Low,Sensitive,4151835,12570798,no,3465
Small,Low,Sensitive,4759378,11052176,no,10115
Large,Medium,Sensitive,2203323,14850113,no,6454
Medium,High,Sensitive,1772792,12138601,no,3996
Medium,High,Non-sensitive,1959880,10386804,no,6120
Large,Low,Non-sensitive,1267008,6612816,no,6191
Medium,Medium,Sensitive,1619527,11355066,yes,10184
Medium,High,Non-sensitive,1967466,14150236,no,6252
Small,Medium,Non-sensitive,278998,2110049,yes,7470
Small,Medium,Sensitive,1031350,6200819,no,3092
Medium,Low,Non-sensitive,4154384,12772791,no,11807
Large,Medium,Sensitive,2496897,14246919,yes,7609
Small,High,Non-sensitive,4704172,16115778,no,3517
Small,High,Non-sensitive,3815922,6283636,no,14639
Large,Low,Sensitive,3899067,15887648,no,13155
Medium,Medium,Non-sensitive,913215,18431203,yes,7953
Large,Medium,Sensitive,4703464,7129869,no,6040
Medium,High,Sensitive,627291,1307499,no,5355
Medium,Medium,Sensitive,2108170,15701841,no,12263
Medium,High,Sensitive,1869356,10933200,no,5303
Small,High,Sensitive,4243839,8791410,no,9475
Large,Medium,Sensitive,3335124,6850873,no,14735
Small,Medium,Sensitive,3465506,2973917,yes,4269
Small,Low,Non-sensitive,4609959,9625965,yes,12595
Small,Medium,Non-sensitive,4494144,10611965,no,9550
Small,Medium,Sensitive,4038813,17498586,no,4413
Medium,High,Sensitive,1516922,17108840,yes,4639
Medium,Low,Non-sensitive,1298428,10555107,yes,12879
Small,Low,Sensitive,4454344,3874155,no,11307
Medium,Medium,Sensitive,2786811,12513208,no,14519
Small,High,Sensitive,2723162,15740352,no,7311
Medium,Medium,Sensitive,4604103,15518119,no,3914
Small,Low,Sensitive,2316607,5386104,yes,10465
Medium,Medium,Non-sensitive,2299771,18913971,yes,14614
Large,High,Non-sensitive,2368086,17180180,yes,14609
Large,Low,Non-sensitive,3265840,7396453,no,12806
Small,Low,Sensitive,1182255,9012840,no,10564
Small,Medium,Sensitive,1952601,13154887,yes,13524
Small,Low,Sensitive,1202417,2685123,yes,14363
Small,Low,Non-sensitive,2579584,2451118,yes,8114
Large,Medium,Sensitive,3625220,9005157,yes,5556
Medium,High,Sensitive,2729941,2450243,no,7818
Large,Low,Sensitive,3473656,8817029,no,13519
Small,High,Sensitive,2283762,13633330,yes,6245
Medium,Low,Non-sensitive,3962464,2194375,no,10415
Medium,Medium,Non-sensitive,1582735,4938767,no,14799
Small,High,Sensitive,657523,12459849,yes,6334
Large,Medium,Non-sensitive,1989023,7336778,no,14169
Large,Medium,Non-sensitive,3642382,11746803,yes,12847
Small,Medium,Non-sensitive,3016954,3325660,no,13985
Small,Medium,Sensitive,4001538,10977743,yes,9450
Medium,Medium,Sensitive,2716161,14461863,no,12014
Small,Medium,Sensitive,2281144,3119864,yes,13104
Small,High,Sensitive,4170454,12929547,yes,7579
Medium,Low,Sensitive,2352312,9421711,yes,10163
Small,High,Sensitive,2479890,8374547,yes,10157
Large,High,Sensitive,3066740,12239605,yes,12657
Medium,High,Non-sensitive,3946215,5264018,no,11597
Large,Medium,Sensitive,3531367,18851267,no,5238
Small,Low,Sensitive,903893,9285470,yes,14870
Small,Low,Non-sensitive,885101,11426809,yes,9272
Small,Low,Non-sensitive,4563817,1008700,yes,12074
Large,Medium,Non-sensitive,2347315,2714102,no,8812
Medium,High,Sensitive,3070076,17096082,yes,13765
Small,Medium,Non-sensitive,671924,15511835,yes,9008
Large,High,Sensitive,2542304,14416596,no,9401
Large,High,Non-sensitive,2706649,18898792,no,9791
Medium,Low,Sensitive,2822300,17587387,yes,14670
Large,Low,Non-sensitive,4002667,13228199,no,4415
Large,High,Sensitive,497509,12535600,yes,14812
Medium,Medium,Sensitive,2703589,1655849,yes,4914
Medium,Low,Non-sensitive,4505568,14216303,no,4383
Medium,Medium,Sensitive,238201,3174133,no,9195
Large,High,Sensitive,3143312,5440777,yes,6061
Large,Medium,Sensitive,4963659,15155344,no,12660
Large,Medium,Non-sensitive,127433,13050609,yes,5168
Medium,Medium,Sensitive,4134715,12690360,yes,9178
Large,Medium,Sensitive,2084390,9475587,no,6526
Small,Medium,Non-sensitive,1676925,3927644,no,14220
Medium,Medium,Non-sensitive,1912495,18897987,yes,8320
Large,Low,Non-sensitive,4078613,5287416,yes,4618
Large,Low,Non-sensitive,4438181,4472646,yes,14660
Medium,Medium,Sensitive,2873615,15547711,yes,5196
Small,High,Sensitive,3013078,19314108,yes,5816
Small,High,Sensitive,4935381,16834544,no,3868
Large,Low,Non-sensitive,2938405,16816451,yes,6561
Medium,High,Non-sensitive,3359929,9354828,yes,3453
Medium,High,Non-sensitive,3800928,3239232,yes,13861
Medium,High,Sensitive,354435,18052560,no,8454
Large,Low,Non-sensitive,3709668,12528168,yes,14701
Medium,Low,Non-sensitive,566646,8705695,yes,6362
Medium,Low,Sensitive,2806161,10274218,no,4376
Large,High,Sensitive,3586966,9205605,yes,8127
Large,Low,Sensitive,2428224,11551718,no,14449
Small,High,Non-sensitive,2542415,4778574,yes,13557
Medium,High,Sensitive,2501558,2635551,no,13251
Large,High,Non-sensitive,1934829,7399361,yes,10336
Large,High,Non-sensitive,2336163,11904987,no,12971
Medium,Low,Non-sensitive,3103632,7696802,no,4125
Medium,High,Sensitive,954327,9691289,no,10848
Large,High,Non-sensitive,4534786,15631796,no,14710
Large,High,Non-sensitive,840367,14926096,no,9285
Large,High,Non-sensitive,4517247,16360929,yes,6116
Medium,High,Non-sensitive,1061646,18741379,no,9034
Medium,Medium,Non-sensitive,1103527,19928648,yes,12344
Small,Low,Sensitive,1671146,7033709,no,11984
Medium,Medium,Non-sensitive,2895694,13876016,no,8353
Large,High,Non-sensitive,860742,13064649,no,12980
Small,Low,Sensitive,2389917,11390174,yes,12072
Small,Low,Sensitive,4428673,16356904,yes,6216
Medium,Medium,Non-sensitive,4914539,10259125,yes,9817
Medium,Medium,Sensitive,845854,10614740,yes,9771
Small,Low,Sensitive,698907,16578990,yes,6774
Large,Low,Sensitive,2203271,13982130,no,13965
Large,High,Sensitive,185675,15062754,yes,4756
Large,Medium,Non-sensitive,726670,11577246,no,6375
Large,High,Sensitive,633284,17661722,no,4477
Small,Low,Sensitive,1221029,2871857,yes,11256
Large,Low,Sensitive,2806712,3943107,no,14843
Small,High,Non-sensitive,2554341,14013865,yes,11478
Medium,High,Non-sensitive,834996,13590235,no,8854
Medium,Low,Non-sensitive,1580107,15316165,no,3184
Small,Low,Sensitive,3931768,17104697,yes,12403
Large,High,Non-sensitive,4557752,2878002,no,11774
Medium,Medium,Non-sensitive,426305,3705502,yes,14799
Medium,Medium,Sensitive,1184578,15334545,yes,4297
Large,Low,Non-sensitive,4198513,8032173,yes,6396
Medium,High,Non-sensitive,3310840,1913926,no,7179
Large,Low,Sensitive,4192101,9353394,no,14965
Medium,Medium,Non-sensitive,1039636,2377239,yes,7825
Medium,High,Non-sensitive,881646,8754025,yes,3542
Small,Medium,Sensitive,425900,3148436,yes,8925
Large,High,Non-sensitive,1552858,8082746,no,3120
Medium,Medium,Sensitive,3990481,19440817,no,4554
Medium,High,Sensitive,3655358,6485843,no,14363
Medium,High,Sensitive,2949628,3706399,yes,3702
Small,High,Sensitive,957768,7767132,no,11460
Small,Medium,Sensitive,211102,13918936,yes,9952
Large,High,Non-sensitive,4021999,1118068,no,4799
Small,Low,Non-sensitive,3619135,17190407,no,9876
Small,Low,Non-sensitive,1722315,14587674,yes,4150
Small,Medium,Sensitive,2896486,14337308,yes,9550
Medium,Medium,Non-sensitive,3596772,5032618,yes,5983
Large,High,Sensitive,4704919,3970619,no,7086
Large,Low,Non-sensitive,3316308,7698026,yes,4296
Large,Medium,Sensitive,2477841,2156620,yes,13813
Large,Low,Sensitive,728127,2967943,yes,6634
Small,Medium,Sensitive,4530714,2346267,yes,7475
Large,Medium,Non-sensitive,718659,12365897,yes,7341
Large,High,Sensitive,1342767,3770704,yes,13576
Medium,Low,Sensitive,1544519,11426858,yes,10710
Small,High,Sensitive,3784528,2959333,yes,10477
Small,High,Sensitive,3422736,7202993,yes,12324
Large,Medium,Sensitive,4209388,19948537,no,6658
Large,High,Sensitive,4429273,6991599,no,12572
Medium,Low,Sensitive,3537593,17076051,yes,6325
Medium,Low,Non-sensitive,2027569,11523323,no,10671
Small,Low,Non-sensitive,4131198,8510523,no,11601
Large,Medium,Sensitive,3533075,7972474,yes,9009
Medium,Low,Sensitive,2928012,16313570,no,5763
Large,Low,Non-sensitive,1673108,11762231,no,13014
Small,High,Sensitive,4967470,13564451,no,3759
Medium,Low,Sensitive,253969,5844698,no,3530
Medium,Low,Non-sensitive,589874,17180018,no,5580
Small,Medium,Sensitive,389935,19675682,no,14007
Small,High,Non-sensitive,2182441,6017937,no,4343
Large,High,Non-sensitive,603160,2033832,yes,7385
Small,Low,Sensitive,1599396,17349032,yes,6367
Small,Medium,Sensitive,4338063,10430022,no,10102
Medium,High,Non-sensitive,2741121,11960097,no,3722
Large,High,Sensitive,1931881,19025252,no,8160
Large,Low,Non-sensitive,2134682,6791974,yes,4077
Medium,Medium,Sensitive,3180292,5578060,yes,12618
Small,Medium,Sensitive,3822263,2494098,no,11680
Small,Low,Sensitive,912759,13010911,yes,13785
Small,High,Sensitive,3897089,10820239,no,9622
Medium,High,Non-sensitive,3036710,9375605,no,3803
Medium,Low,Sensitive,2921379,9929151,yes,9702
Medium,Low,Non-sensitive,4341472,12024208,no,13590
Large,High,Sensitive,2979852,15974793,no,14082
Large,Medium,Sensitive,1671811,11112233,yes,3223
Large,High,Sensitive,406802,3658713,yes,3313
Large,Low,Sensitive,1529809,4199841,no,11474
Small,High,Sensitive,4777713,6034316,no,14548
Large,High,Non-sensitive,439042,1138793,no,4432
Medium,Low,Sensitive,1841932,19406385,yes,13084
Medium,Medium,Non-sensitive,3073824,9824864,no,13310
Large,High,Non-sensitive,3870479,12548392,no,4614
Small,Medium,Non-sensitive,4200746,11702542,yes,9207
Small,Low,Non-sensitive,3776621,9818049,yes,12787
Small,Low,Sensitive,448597,13390557,no,7321
Small,Medium,Non-sensitive,4545728,13953746,yes,5422
Medium,High,Sensitive,2843322,4023832,yes,4213
Medium,Low,Non-sensitive,4920534,8916305,yes,10180
Large,High,Non-sensitive,1734082,2675815,yes,10993
Large,Medium,Sensitive,4388644,6595383,no,13998
Small,Low,Non-sensitive,3735350,8273749,yes,14571
Medium,Low,Sensitive,2984588,10457555,no,11315
Small,High,Sensitive,1570381,16250774,yes,6638
Small,High,Non-sensitive,4008412,12096724,no,10300
Medium,Low,Sensitive,3734720,18957036,yes,10727
Small,Medium,Non-sensitive,503979,8549007,no,10833
Small,Medium,Sensitive,740394,15710432,yes,4695
Small,High,Non-sensitive,1236400,4535487,yes,4072
Large,Low,Sensitive,3727090,13429410,no,12113
Large,Low,Sensitive,4236485,13486567,no,13944
Large,Medium,Non-sensitive,4322895,13103876,no,10354
Small,High,Non-sensitive,1852625,10234115,no,8721
Small,Low,Non-sensitive,2869085,6736895,no,5804
Medium,High,Sensitive,2545140,10424122,yes,11529
Medium,Medium,Non-sensitive,4588707,4620565,yes,9945
Large,Low,Non-sensitive,3077221,7923092,yes,9906
Medium,Medium,Sensitive,770787,12676396,no,3262
Small,Low,Sensitive,516487,14431103,no,10886
Large,High,Non-sensitive,3297090,13003581,yes,10130
Large,High,Sensitive,138823,4056813,no,10686
Medium,Low,Non-sensitive,1865825,17628367,yes,4572
Medium,Medium,Non-sensitive,2499455,10824946,no,9312
Small,Medium,Non-sensitive,294830,19557109,yes,14679
Medium,Medium,Sensitive,132220,12208997,yes,11780
Large,High,Non-sensitive,401562,9302515,no,5725
Small,High,Non-sensitive,624600,6009944,yes,12350
Small,High,Non-sensitive,1488333,12859794,yes,13743
Small,High,Sensitive,1777800,4082989,yes,3908
Medium,Medium,Non-sensitive,1671500,13447652,yes,7254
Large,Low,Sensitive,1422511,14913144,no,4413
Medium,Medium,Non-sensitive,2359143,8536390,no,9036
Large,Medium,Non-sensitive,3887964,10498431,yes,14137
Medium,High,Non-sensitive,4000410,12158799,yes,7363
Large,Medium,Sensitive,2905679,3730122,yes,13975
Large,Medium,Sensitive,2282448,3658424,no,4097
Large,Low,Sensitive,217979,15756988,yes,13585
Small,Medium,Sensitive,1807711,6569913,no,11891
Medium,High,Sensitive,3822262,8801079,no,5593
Medium,Low,Sensitive,2110723,9125158,yes,12277
Small,Medium,Sensitive,742747,7625286,yes,13515
Large,Medium,Non-sensitive,2125851,17941974,yes,8941
Small,Low,Non-sensitive,1024262,6835279,yes,11305
Small,Medium,Sensitive,2282527,10025210,yes,8108
Large,Medium,Sensitive,2707275,10417413,yes,7207
Large,Medium,Non-sensitive,1588636,19306839,no,12479
Small,Low,Sensitive,1889727,9861873,yes,5670
Small,Medium,Non-sensitive,2315830,12423583,no,4044
Medium,High,Sensitive,3579807,7992138,yes,5038
Large,Low,Sensitive,4564708,1507138,no,8472
Medium,Medium,Sensitive,359602,15321026,yes,4361
Large,High,Sensitive,1924646,16906166,yes,3856
Medium,Medium,Non-sensitive,2957196,15130111,yes,12851
Medium,Low,Sensitive,1403583,10822873,no,9664
Medium,Low,Non-sensitive,2560210,13509689,no,4641
Large,High,Non-sensitive,1779552,14152333,no,11087
Medium,Medium,Non-sensitive,3324422,10138105,yes,9769
Small,Low,Non-sensitive,1920032,1462351,yes,13294
Medium,Medium,Non-sensitive,3548538,18706906,no,14463
Medium,High,Non-sensitive,2829211,4870314,no,4508
Large,High,Sensitive,3223415,2998230,yes,7419
Large,Medium,Non-sensitive,265895,11399607,no,12803
Large,Medium,Non-sensitive,4381870,18643043,no,9260
Large,Medium,Sensitive,286544,16720789,yes,8166
Large,Low,Sensitive,2382885,4473846,no,10920
Medium,Medium,Non-sensitive,3907357,4915342,yes,7846
Medium,High,Sensitive,4599490,18701827,no,10005
Medium,High,Non-sensitive,4596396,6211944,yes,11175
Large,Medium,Sensitive,4840275,12401779,no,7344
Medium,Low,Non-sensitive,980319,3062468,no,7963
Small,High,Sensitive,386252,19715656,no,4716
Small,Low,Sensitive,4280079,12419822,no,13554
Medium,High,Non-sensitive,4352984,12996955,no,4195
Large,Medium,Non-sensitive,3594474,5810945,no,7206
Small,Low,Non-sensitive,3789611,2358495,no,4895
Small,Low,Non-sensitive,4972969,5679821,no,13794
Small,Medium,Sensitive,2151704,13588298,no,12011
Large,High,Non-sensitive,3439266,2008822,yes,5606
Small,Medium,Sensitive,352089,18645652,no,13590
Small,High,Non-sensitive,157446,11769535,no,8826
Medium,Low,Non-sensitive,3792245,8271407,no,4709
Large,High,Sensitive,3194929,11875429,yes,8814
Large,Medium,Sensitive,2055484,15109466,no,6827
Small,Low,Non-sensitive,2986414,4782727,no,11531
Medium,Low,Non-sensitive,639774,8780116,yes,12398
Small,High,Non-sensitive,3295903,13314686,no,12444
Small,High,Non-sensitive,2565270,5502783,no,6697
Large,High,Non-sensitive,2468454,4601953,yes,13643
Medium,High,Sensitive,2573840,3742314,no,13135
Large,Low,Sensitive,476190,13144421,yes,10766
Medium,High,Non-sensitive,1011795,19072696,yes,7787
Small,High,Non-sensitive,578714,7574646,yes,13540
Large,High,Non-sensitive,3916811,1287054,yes,10976
Medium,High,Non-sensitive,3695287,12899165,no,3983
Medium,Low,Non-sensitive,4587034,5637062,yes,6865
Small,Low,Sensitive,1099584,14624072,no,7863
Small,Low,Non-sensitive,2612378,5542849,no,3898
Medium,Low,Sensitive,685639,14200200,no,12359
Large,Medium,Non-sensitive,2962006,17820304,no,12640
Large,High,Non-sensitive,1531336,9691832,yes,9348
Small,Medium,Sensitive,503044,16604376,yes,12181
Small,High,Non-sensitive,967796,7074860,yes,11290
Large,Medium,Sensitive,1736923,6886535,yes,5923
Large,Low,Non-sensitive,2041368,4934711,no,10876
Small,Low,Non-sensitive,3365490,2221573,yes,8110
Large,High,Sensitive,1212561,15899473,yes,7309
Large,High,Non-sensitive,1754160,17009140,yes,6198
Medium,High,Sensitive,577196,18013925,no,9477
Large,High,Sensitive,2338208,11188037,no,8668
Small,Medium,Non-sensitive,1886262,17474810,yes,7486
Medium,Medium,Sensitive,3765664,17920641,yes,5413
Large,Medium,Non-sensitive,3029044,5862456,no,5369
Medium,Medium,Sensitive,3326540,9184394,no,11550
Large,Medium,Non-sensitive,1576354,6450789,yes,5994
Large,Low,Sensitive,1170759,14609793,yes,6465
Large,Low,Non-sensitive,4101557,2226791,no,6790
Small,Medium,Sensitive,1006495,2075562,yes,14877
Large,Low,Sensitive,1179290,3263567,yes,8386
Large,High,Sensitive,166972,13621547,no,10361
